country_id,city,doc_id,name,action,is_top_suggested,final_score,heuristic_score,heuristic_triggers,llm_category,llm_confidence,llm_reason,rating,review_count,types,path,distance_km
1480,Alibaug,ChIJXbL--Wp66DsR77u61pzWkDA,Smart raigad bazar,KEEP,True,90,90,good_rating|very_high_reviews,local,0.80,"Popular shopping mall with many reviews, but not a unique or iconic attraction in Alibaug.",4,2079,Shopping mall,allplaces/1480/top_attractions/ChIJXbL--Wp66DsR77u61pzWkDA,0.554878692903686
1480,Alibaug,ChIJY1jCAUN66DsRrJcdx04BpuM,Alibag Beach,KEEP,True,100,90,good_rating|very_high_reviews,significant,0.85,"Popular beach in Alibaug offering diverse water sports and activities, attracting many visitors and contributing to the town's coastal appeal.",4.2,5942,"Beach,Outdoor Activities",allplaces/1480/top_attractions/ChIJY1jCAUN66DsRrJcdx04BpuM,0.5736591191519597
1480,Alibaug,ChIJYYzK1UB66DsRkuf4LddkOsk,Alibag Magnetic Observatory,DEMOTE,False,0,0,hard_rule_reject,rule-based,1.00,Too few reviews (41 < 50),4.6,41,Government office,allplaces/1480/top_attractions/ChIJYYzK1UB66DsRkuf4LddkOsk,0.33300236002001116
1480,Alibaug,ChIJa_kmmDt66DsRgYv2gFZOY6k,Alibag,DEMOTE,False,0,0,hard_rule_reject,rule-based,1.00,Too few reviews (0 < 50),,,,allplaces/1480/top_attractions/ChIJa_kmmDt66DsRgYv2gFZOY6k,1.6635634922867628
1480,Alibaug,ChIJdZjI1EF66DsRRIz9XXVz_70,Chhatrapati Shivaji Maharaj Chowk,DEMOTE,False,0,0,hard_rule_reject,rule-based,1.00,Too few reviews (41 < 50),4.6,41,Civic center,allplaces/1480/top_attractions/ChIJdZjI1EF66DsRRIz9XXVz_70,0.28104272930760277
1480,Alibaug,ChIJfSaxZS966DsRY2TmcYltIMc,Varsoli Beach,KEEP,True,100,90,good_rating|very_high_reviews,significant,0.85,"Varsoli Beach is a well-rated, serene beach near Alibaug offering a less crowded alternative with natural beauty and water sports, making it a worthwhile local attraction.",4.4,2494,"Beach,Outdoor Activities",allplaces/1480/top_attractions/ChIJfSaxZS966DsRY2TmcYltIMc,2.642941493427495
1480,Alibaug,ChIJlepq6x176DsRGlpiiHyYkJ8,Kashi vishweshvar mandir,DEMOTE,False,0,0,hard_rule_reject,rule-based,1.00,Too few reviews (8 < 50),4.6,8,Hindu temple,allplaces/1480/top_attractions/ChIJlepq6x176DsRGlpiiHyYkJ8,0.2589019834973241
1480,Alibaug,ChIJo3B-iFp66DsRY04Fqpd7s74,Kolaba Fort Jetty,DEMOTE,False,0,0,hard_rule_reject,rule-based,1.00,Too few reviews (34 < 50),4.1,34,,allplaces/1480/top_attractions/ChIJo3B-iFp66DsRY04Fqpd7s74,1.5265955655030268
1480,Alibaug,ChIJtZ4bIGp66DsRlFLDrYH2vV0,Magen Aboth Synagogue,DEMOTE,False,0,0,hard_rule_reject,rule-based,1.00,Too few reviews (18 < 50),4.1,18,Synagogue,allplaces/1480/top_attractions/ChIJtZ4bIGp66DsRlFLDrYH2vV0,0.4526004393030184
1480,Alibaug,ChIJx1VjnBp76DsRq_0v45SCKjE,Hira Auto Garage,DEMOTE,False,0,0,hard_rule_reject,rule-based,1.00,Too few reviews (0 < 50),,,Gemologist,allplaces/1480/top_attractions/ChIJx1VjnBp76DsRq_0v45SCKjE,1.3172605654685656
